id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
gemini-dollar,gusd,Gemini Dollar,https://assets.coingecko.com/coins/images/5992/large/gemini-dollar-gusd.png?1536745278,1.0,360980526,99,360980526.0,573937.0,1.005,0.991978,-0.000486796054423699,-0.04864,-389227.1377993226,-0.10771,360992357.56,360992357.56,,3.3,-69.70728,2018-10-11T17:36:21.529Z,0.78261,27.88368,2018-09-29T00:00:00.000Z,"{'times': 0.000235197376973, 'currency': 'usd', 'percentage': 0.0235197376973}",2023-08-23T03:38:34.924Z
trust-wallet-token,twt,Trust Wallet,https://assets.coingecko.com/coins/images/11085/large/Trust.png?1588062702,0.851887,354904725,100,851805618.0,6838643.0,0.87214,0.824943,-0.016807823935483412,-1.93484,-7034214.443142474,-1.94348,416649900.0,1000000000.0,,2.72,-68.59708,2022-12-11T23:25:46.205Z,0.00277641,30675.15285,2020-06-09T09:15:06.983Z,,2023-08-23T03:38:36.503Z
dydx,dydx,dYdX,https://assets.coingecko.com/coins/images/17500/large/hjnIm9bV.jpg?1628009360,1.97,340260630,101,1965236749.0,48577495.0,1.97,1.87,0.03819153,1.97897,5571788.0,1.66477,173139765.6001538,1000000000.0,1000000000.0,27.86,-92.94249,2021-09-30T01:23:43.570Z,1.011,94.56262,2022-06-18T20:55:50.603Z,,2023-08-23T03:38:42.711Z
nexo,nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,0.592337,331360809,102,591715720.0,2310378.0,0.594165,0.571147,0.00211785,0.35883,460674.0,0.13922,560000010.0064,1000000000.0,1000000000.0,4.07,-85.4082,2021-05-12T14:37:47.535Z,0.04515276,1214.62602,2018-09-13T00:00:00.000Z,"{'times': 4.92336951954772, 'currency': 'usd', 'percentage': 492.336951954772}",2023-08-23T03:38:43.795Z
akash-network,akt,Akash Network,https://assets.coingecko.com/coins/images/12785/large/akash-logo.png?1615447676,1.51,327214550,103,585110563.0,5035459.0,1.61,1.44,-0.09485337912292802,-5.92887,-20282535.566506326,-5.83675,217284774.211336,217284508.790737,388539008.0,8.07,-81.32506,2021-04-06T18:59:48.484Z,0.164994,813.97033,2022-11-21T20:30:53.727Z,,2023-08-23T03:38:42.949Z
gmx,gmx,GMX,https://assets.coingecko.com/coins/images/18323/large/arbit.png?1631532468,36.47,327037009,104,483485207.0,11919900.0,37.1,35.02,-0.27030156184977727,-0.73565,-2819957.2670152187,-0.8549,8962508.67903231,8962508.67903231,13250000.0,91.07,-59.87009,2023-04-18T10:00:25.680Z,11.53,216.86613,2022-06-15T09:30:22.146Z,,2023-08-23T03:38:36.561Z
nxm,nxm,Nexus Mutual,https://assets.coingecko.com/coins/images/11810/large/NXMmain.png?1674799570,46.94,317293903,105,317293903.0,13520.53,47.69,46.13,-0.6741250202382219,-1.41568,-4615012.6165601015,-1.43364,6758950.56125865,6758950.56125865,6758950.56125865,185.97,-74.75756,2021-11-10T15:14:14.418Z,6.96,574.20508,2020-07-22T19:54:06.406Z,,2023-08-23T02:07:01.744Z
apenft,nft,APENFT,https://assets.coingecko.com/coins/images/15687/large/apenft.jpg?1621562368,3.17477e-07,314171238,106,317307639.0,19466045.0,3.17885e-07,3.12266e-07,1.483e-09,0.46919,1213920.0,0.38789,990105683025577.0,999990000000000.0,999990000000000.0,7.53e-06,-95.78393,2021-09-05T00:10:47.823Z,2.98737e-07,6.27139,2023-06-10T04:30:05.717Z,,2023-08-23T03:38:40.447Z
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02299842,308930187,107,308930187.0,3.22,0.02305422,0.02296987,1.145e-08,5e-05,-9967166.389264941,-3.12551,13432668897.8226,13432668897.8226,,0.058843,-60.91589,2020-10-21T11:24:27.820Z,0.00620705,270.52071,2021-03-04T08:11:37.438Z,,2023-08-23T03:00:02.539Z
dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,26.5,302905623,108,501864662.0,23486344.0,26.77,25.61,0.097147,0.36795,743552.0,0.24608,11419362.2806609,18920000.0,,1493.59,-98.22089,2017-12-20T00:00:00.000Z,0.213899,12322.95408,2014-02-14T00:00:00.000Z,,2023-08-23T03:38:41.141Z
